chr,start,stop,gene_symbol,strand,mendelian_disease_group
2,182540832,182545392,NEUROD1,-,Cardiovascular_Disease
2,189839098,189877472,COL3A1,+,Cardiovascular_Disease
2,190425315,190445537,SLC40A1,-,Cardiovascular_Disease
2,201936461,201950473,NDUFB3,+,Cardiovascular_Disease
2,202122753,202152434,CASP8,+,Cardiovascular_Disease
2,206987802,207023918,NDUFS1,-,Cardiovascular_Disease
2,207630111,207660911,FASTKD2,+,Cardiovascular_Disease
2,208394615,208470284,CREB1,+,Cardiovascular_Disease
2,217277472,217347774,SMARCAL1,+,Cardiovascular_Disease
2,219524378,219528166,BCS1L,+,Cardiovascular_Disease
2,219646471,219680016,CYP27A1,+,Cardiovascular_Disease
2,220283098,220291461,DES,+,Cardiovascular_Disease
2,220299699,220358354,SPEG,+,Cardiovascular_Disease
2,224822120,224832431,MRPL44,+,Cardiovascular_Disease
2,227596032,227663506,IRS1,-,Cardiovascular_Disease
2,228029280,228179508,COL4A3,+,Cardiovascular_Disease
2,238232654,238322850,COL6A3,-,Cardiovascular_Disease
2,240896788,240964819,NDUFA10,-,Cardiovascular_Disease
2,241526132,241538526,CAPN10,+,Cardiovascular_Disease
2,242674029,242708231,D2HGDH,+,Cardiovascular_Disease
2,242792032,242801058,PDCD1,-,Cardiovascular_Disease
20,388708,411610,RBCK1,+,Cardiovascular_Disease
20,3190005,3204516,ITPA,+,Cardiovascular_Disease
20,6748744,6760910,BMP2,+,Cardiovascular_Disease
20,10385427,10414887,MKKS,-,Cardiovascular_Disease
20,10618331,10654694,JAG1,-,Cardiovascular_Disease
20,13765671,13799067,NDUFAF5,+,Cardiovascular_Disease
20,17949761,17971762,MGME1,+,Cardiovascular_Disease
20,23026269,23030301,THBD,-,Cardiovascular_Disease
20,23583046,23586610,CST9,-,Cardiovascular_Disease
20,30407177,30422500,MYLK2,+,Cardiovascular_Disease
20,42740336,42816218,JPH2,-,Cardiovascular_Disease
20,42984440,43036115,HNF4A,+,Cardiovascular_Disease
20,44044706,44054885,PIGT,+,Cardiovascular_Disease
20,44637546,44645200,MMP9,+,Cardiovascular_Disease
20,48120410,48184707,PTGIS,-,Cardiovascular_Disease
20,54823787,54824871,MC3R,+,Cardiovascular_Disease
20,56071020,56100183,CTCFL,-,Cardiovascular_Disease
20,57414794,57486250,GNAS,+,Cardiovascular_Disease
20,57603732,57607422,ATP5E,-,Cardiovascular_Disease
21,27252860,27543138,APP,-,Cardiovascular_Disease
21,35736322,35743440,KCNE2,+,Cardiovascular_Disease
21,44473300,44496472,CBS,-,Cardiovascular_Disease
21,47401662,47424963,COL6A1,+,Cardiovascular_Disease
21,47518032,47552763,COL6A2,+,Cardiovascular_Disease
22,17660191,17690779,ADA2,-,Cardiovascular_Disease
22,20008630,20053447,TANGO2,+,Cardiovascular_Disease
22,26138119,26427007,MYO18B,+,Cardiovascular_Disease
22,36677322,36784063,MYH9,-,Cardiovascular_Disease
22,40806291,41032690,MKL1,-,Cardiovascular_Disease
22,41253084,41328823,XPNPEP3,+,Cardiovascular_Disease
22,42522500,42526883,CYP2D6,-,Cardiovascular_Disease
22,50296853,50312106,ALG12,-,Cardiovascular_Disease
22,50961996,50964033,SCO2,-,Cardiovascular_Disease
22,51017386,51021428,CHKB,-,Cardiovascular_Disease
3,3168599,3190706,TRNT1,+,Cardiovascular_Disease
3,8775485,8788451,CAV3,+,Cardiovascular_Disease
3,9908393,9921938,CIDEC,-,Cardiovascular_Disease
3,10183318,10195354,VHL,+,Cardiovascular_Disease
3,12393000,12475855,PPARG,+,Cardiovascular_Disease
3,12625099,12705700,RAF1,-,Cardiovascular_Disease
3,14166439,14185180,TMEM43,+,Cardiovascular_Disease
3,24158644,24536313,THRB,-,Cardiovascular_Disease
3,33038099,33138694,GLB1,-,Cardiovascular_Disease
3,38589552,38674850,SCN5A,-,Cardiovascular_Disease
3,39304984,39323226,CX3CR1,-,Cardiovascular_Disease
3,39448203,39454032,RPSA,+,Cardiovascular_Disease
3,46899356,46904973,MYL3,-,Cardiovascular_Disease
3,48601505,48632593,COL7A1,-,Cardiovascular_Disease
3,48894355,48936426,SLC25A20,-,Cardiovascular_Disease
3,49059073,49060926,NDUFAF3,+,Cardiovascular_Disease
3,49758931,49761384,GMPPB,-,Cardiovascular_Disease
3,50273646,50296786,GNAI2,+,Cardiovascular_Disease
3,52485106,52488057,TNNC1,-,Cardiovascular_Disease
3,57231943,57234280,HESX1,-,Cardiovascular_Disease
3,81538849,81810950,GBE1,-,Cardiovascular_Disease
3,113465865,113530905,ATP6V1A,+,Cardiovascular_Disease
3,119217367,119243125,TIMMDC1,+,Cardiovascular_Disease
3,123001142,123167392,ADCY5,-,Cardiovascular_Disease
3,127771211,127790526,SEC61A1,+,Cardiovascular_Disease
3,128598332,128631957,ACAD9,+,Cardiovascular_Disease
3,128886657,128902810,CNBP,-,Cardiovascular_Disease
3,131181044,131221860,MRPL3,-,Cardiovascular_Disease
3,135969166,136049013,PCCB,+,Cardiovascular_Disease
3,139062797,139075887,MRPS22,+,Cardiovascular_Disease
3,148415657,148460790,AGTR1,+,Cardiovascular_Disease
3,151055375,151058585,P2RY12,-,Cardiovascular_Disease
3,154797952,154901518,MME,+,Cardiovascular_Disease
3,158362316,158410360,GFM1,+,Cardiovascular_Disease
3,170714136,170744768,SLC2A2,-,Cardiovascular_Disease
3,178866310,178952497,PIK3CA,+,Cardiovascular_Disease
3,180701497,180707562,DNAJC19,-,Cardiovascular_Disease
3,184089772,184095932,THPO,-,Cardiovascular_Disease
3,189349215,189615068,TP63,+,Cardiovascular_Disease
3,193310932,193415600,OPA1,+,Cardiovascular_Disease
3,196433147,196439123,CEP19,-,Cardiovascular_Disease
4,980784,998317,IDUA,+,Cardiovascular_Disease
4,2845583,2931802,ADD1,+,Cardiovascular_Disease
4,6271576,6304992,WFS1,+,Cardiovascular_Disease
4,16162127,16228161,TAPT1,-,Cardiovascular_Disease
4,39460664,39479271,LIAS,+,Cardiovascular_Disease
4,52886860,52904485,SGCB,-,Cardiovascular_Disease
4,55095263,55164412,PDGFRA,+,Cardiovascular_Disease
4,57775078,57802010,REST,+,Cardiovascular_Disease
4,74269971,74287129,ALB,+,Cardiovascular_Disease
4,84184976,84206067,COQ2,-,Cardiovascular_Disease
4,89011415,89080011,ABCG2,-,Cardiovascular_Disease
4,100257648,100273917,ADH1C,-,Cardiovascular_Disease
4,100485239,100545154,MTTP,+,Cardiovascular_Disease
4,103422485,103538459,NFKB1,+,Cardiovascular_Disease
4,104026962,104119566,CENPE,-,Cardiovascular_Disease
4,106290233,106395227,PPA2,-,Cardiovascular_Disease
4,108910869,108956331,HADH,+,Cardiovascular_Disease
4,111538579,111563279,PITX2,-,Cardiovascular_Disease
4,120056938,120108944,MYOZ2,+,Cardiovascular_Disease
4,148999914,149363672,NR3C2,-,Cardiovascular_Disease
4,155504279,155511897,FGA,-,Cardiovascular_Disease
4,159593276,159629841,ETFDH,+,Cardiovascular_Disease
4,166794409,167025609,TLL1,+,Cardiovascular_Disease
4,178351928,178363657,AGA,-,Cardiovascular_Disease
4,186064416,186071538,SLC25A4,+,Cardiovascular_Disease
5,218355,256814,SDHA,+,Cardiovascular_Disease
5,1253286,1295162,TERT,-,Cardiovascular_Disease
5,1801495,1816167,NDUFS6,+,Cardiovascular_Disease
5,37291940,37371197,NUP155,-,Cardiovascular_Disease
5,42423876,42721980,GHR,+,Cardiovascular_Disease
5,43603228,43705668,NNT,+,Cardiovascular_Disease
5,52856464,52979171,NDUFS4,+,Cardiovascular_Disease
5,60240955,60448864,NDUFAF2,+,Cardiovascular_Disease
5,68788118,68853931,OCLN,+,Cardiovascular_Disease
5,78073036,78282357,ARSB,-,Cardiovascular_Disease
5,79922044,79950800,DHFR,-,Cardiovascular_Disease
5,79950466,80172634,MSH3,+,Cardiovascular_Disease
5,82373316,82649579,XRCC4,+,Cardiovascular_Disease
5,88014057,88199922,MEF2C,-,Cardiovascular_Disease
5,126112314,126172712,LMNB1,+,Cardiovascular_Disease
5,131705400,131731306,SLC22A5,+,Cardiovascular_Disease
5,137203544,137223540,MYOT,+,Cardiovascular_Disease
5,138089106,138270723,CTNNA1,+,Cardiovascular_Disease
5,140024947,140027370,NDUFA2,-,Cardiovascular_Disease
5,148206155,148208197,ADRB2,+,Cardiovascular_Disease
5,149109814,149234585,PPARGC1B,+,Cardiovascular_Disease
5,149493401,149535422,PDGFRB,-,Cardiovascular_Disease
5,155753766,156194798,SGCD,+,Cardiovascular_Disease
5,172659106,172662315,NKX2-5,-,Cardiovascular_Disease
5,176829138,176836577,F12,-,Cardiovascular_Disease
6,6144310,6320924,F13A1,-,Cardiovascular_Disease
6,7541869,7586946,DSP,+,Cardiovascular_Disease
6,12290528,12297427,EDN1,+,Cardiovascular_Disease
6,26087508,26095469,HFE,+,Cardiovascular_Disease
6,31826828,31830709,NEU1,-,Cardiovascular_Disease
6,32808493,32811816,PSMB8,-,Cardiovascular_Disease
6,33738989,33756906,LEMD2,-,Cardiovascular_Disease
6,43737945,43754223,VEGFA,+,Cardiovascular_Disease
6,44266462,44281063,AARS2,-,Cardiovascular_Disease
6,45296053,45518819,RUNX2,+,Cardiovascular_Disease
6,46672052,46703430,PLA2G7,-,Cardiovascular_Disease
6,49398072,49431041,MUT,-,Cardiovascular_Disease
6,53362139,53409927,GCLC,-,Cardiovascular_Disease
6,74171453,74211179,MTO1,+,Cardiovascular_Disease
6,76458908,76629254,MYO6,+,Cardiovascular_Disease
6,86159301,86205509,NT5E,+,Cardiovascular_Disease
6,97337186,97345767,NDUFAF4,-,Cardiovascular_Disease
6,99321600,99395849,FBXL4,-,Cardiovascular_Disease
6,105544698,105584543,BVES,-,Cardiovascular_Disease
6,110012423,110146634,FIG4,+,Cardiovascular_Disease
6,112429133,112575917,LAMA4,-,Cardiovascular_Disease
6,118869441,118881587,PLN,+,Cardiovascular_Disease
6,132129155,132216295,ENPP1,+,Cardiovascular_Disease
6,133562494,133853258,EYA4,+,Cardiovascular_Disease
6,137143701,137235072,PEX7,+,Cardiovascular_Disease
6,144471653,144513076,STX11,+,Cardiovascular_Disease
6,151725896,151773316,RMND1,-,Cardiovascular_Disease
6,152128453,152424408,ESR1,+,Cardiovascular_Disease
6,152442818,152958534,SYNE1,-,Cardiovascular_Disease
6,160100148,160114353,SOD2,-,Cardiovascular_Disease
6,160952514,161087407,LPA,-,Cardiovascular_Disease
6,161768589,163148834,PRKN,-,Cardiovascular_Disease
7,30050198,30066417,FKBP14,-,Cardiovascular_Disease
7,31003635,31019146,GHRHR,+,Cardiovascular_Disease
7,35242041,35293711,TBX20,-,Cardiovascular_Disease
7,44183869,44198887,GCK,-,Cardiovascular_Disease
7,44552134,44580914,NPC1L1,-,Cardiovascular_Disease
7,65425672,65447301,GUSB,-,Cardiovascular_Disease
7,73442426,73484236,ELN,+,Cardiovascular_Disease
7,75956107,75988342,YWHAG,-,Cardiovascular_Disease
7,80275644,80303734,CD36,+,Cardiovascular_Disease
7,92076761,92089381,GATAD1,+,Cardiovascular_Disease
7,94927668,94953884,PON1,-,Cardiovascular_Disease
7,100218038,100239201,TFR2,-,Cardiovascular_Disease
7,100770369,100782547,SERPINE1,+,Cardiovascular_Disease
7,100797685,100804557,AP1S1,+,Cardiovascular_Disease
7,107531585,107561643,DLD,+,Cardiovascular_Disease
7,108110865,108166762,PNPLA8,-,Cardiovascular_Disease
7,113516881,113559082,PPP1R3A,-,Cardiovascular_Disease
7,116164838,116201239,CAV1,+,Cardiovascular_Disease
7,117120016,117308718,CFTR,+,Cardiovascular_Disease
7,127250345,127255780,PAX4,-,Cardiovascular_Disease
7,127881330,127897682,LEP,+,Cardiovascular_Disease
7,128470482,128499328,FLNC,+,Cardiovascular_Disease
7,140433812,140624564,BRAF,-,Cardiovascular_Disease
7,141251077,141354209,AGK,+,Cardiovascular_Disease
7,150642043,150675402,KCNH2,-,Cardiovascular_Disease
7,150688143,150711687,NOS3,+,Cardiovascular_Disease
7,151253200,151574316,PRKAG2,-,Cardiovascular_Disease
7,157129709,157210133,DNAJB6,+,Cardiovascular_Disease
8,11561716,11617509,GATA4,+,Cardiovascular_Disease
8,15965386,16050300,MSR1,-,Cardiovascular_Disease
8,17721899,17753047,FGL1,-,Cardiovascular_Disease
8,19796581,19824770,LPL,+,Cardiovascular_Disease
8,27348518,27402439,EPHX2,+,Cardiovascular_Disease
8,27632057,27662424,ESCO2,+,Cardiovascular_Disease
8,30890777,31031277,WRN,+,Cardiovascular_Disease
8,38268655,38325363,FGFR1,-,Cardiovascular_Disease
8,41510743,41754280,ANK1,-,Cardiovascular_Disease
8,42273979,42396655,SLC20A2,-,Cardiovascular_Disease
8,53535017,53627026,RB1CC1,-,Cardiovascular_Disease
8,55528626,55543394,RP1,+,Cardiovascular_Disease
8,63972047,63998612,TTPA,-,Cardiovascular_Disease
8,66933790,67012755,DNAJC5B,+,Cardiovascular_Disease
8,74888376,74895018,TMEM70,+,Cardiovascular_Disease
8,96037213,96070944,NDUFAF6,+,Cardiovascular_Disease
8,100025493,100889814,VPS13B,+,Cardiovascular_Disease
8,104383742,104395232,CTHRC1,+,Cardiovascular_Disease
8,119935795,119964383,TNFRSF11B,-,Cardiovascular_Disease
8,125551342,125562227,NDUFB9,+,Cardiovascular_Disease
8,126104082,126379367,NSMCE2,+,Cardiovascular_Disease
8,143953772,143961236,CYP11B1,-,Cardiovascular_Disease
8,143991974,143999259,CYP11B2,-,Cardiovascular_Disease
8,144295067,144299044,GPIHBP1,+,Cardiovascular_Disease
8,144989320,145025044,PLEC,-,Cardiovascular_Disease
9,4985244,5128183,JAK2,+,Cardiovascular_Disease
9,21967750,21994490,CDKN2A,-,Cardiovascular_Disease
9,32972603,33001639,APTX,-,Cardiovascular_Disease
9,35056064,35072739,VCP,-,Cardiovascular_Disease
9,71650478,71693993,FXN,+,Cardiovascular_Disease
9,71820077,71870124,TJP2,+,Cardiovascular_Disease
9,80335190,80646219,GNAQ,-,Cardiovascular_Disease
9,93976096,94124206,AUH,-,Cardiovascular_Disease
9,101494290,101558794,ANKS6,-,Cardiovascular_Disease
9,104122698,104145801,BAAT,-,Cardiovascular_Disease
9,107543283,107690527,ABCA1,-,Cardiovascular_Disease
9,108320410,108403399,FKTN,+,Cardiovascular_Disease
9,124062078,124095120,GSN,+,Cardiovascular_Disease
9,131084790,131096351,COQ4,+,Cardiovascular_Disease
9,131707808,131710012,DOLK,-,Cardiovascular_Disease
9,134378288,134399193,POMT1,+,Cardiovascular_Disease
9,135766734,135820020,TSC1,-,Cardiovascular_Disease
9,136218665,136223361,SURF1,-,Cardiovascular_Disease
9,136501484,136524466,DBH,+,Cardiovascular_Disease
9,136528683,136603479,SARDH,-,Cardiovascular_Disease
9,139567594,139581911,AGPAT2,-,Cardiovascular_Disease
1,1146705,1149548,TNFRSF4,-,Disorders_of_Platelet_Function
1,2985741,3355185,PRDM16,+,Disorders_of_Platelet_Function
1,9711789,9789172,PIK3CD,+,Disorders_of_Platelet_Function
1,11166587,11322608,MTOR,-,Disorders_of_Platelet_Function
1,11845786,11866160,MTHFR,-,Disorders_of_Platelet_Function
1,11994723,12035599,PLOD1,+,Disorders_of_Platelet_Function
1,24122088,24126060,GALE,-,Disorders_of_Platelet_Function
1,24171571,24194859,FUCA1,-,Disorders_of_Platelet_Function
1,43391045,43424847,SLC2A1,-,Disorders_of_Platelet_Function
1,43803474,43820135,MPL,+,Disorders_of_Platelet_Function
1,45965855,45976739,MMACHC,+,Disorders_of_Platelet_Function
1,47681962,47695443,TAL1,-,Disorders_of_Platelet_Function
1,64088886,64125916,PGM1,+,Disorders_of_Platelet_Function
1,94883932,94984219,ABCD3,+,Disorders_of_Platelet_Function
1,115247084,115259515,NRAS,-,Disorders_of_Platelet_Function
1,145413190,145417545,HFE2,+,Disorders_of_Platelet_Function
1,145507556,145513535,RBM8A,+,Disorders_of_Platelet_Function
1,150039341,150117505,VPS45,+,Disorders_of_Platelet_Function
1,151778546,151804348,RORC,-,Disorders_of_Platelet_Function
1,155204238,155214653,GBA,-,Disorders_of_Platelet_Function
1,155259083,155271225,PKLR,-,Disorders_of_Platelet_Function
1,159175048,159176290,ACKR1,+,Disorders_of_Platelet_Function
1,159997461,160001783,PIGM,-,Disorders_of_Platelet_Function
1,164528596,164821060,PBX1,+,Disorders_of_Platelet_Function
1,169433148,169455208,SLC19A2,-,Disorders_of_Platelet_Function
1,169481191,169555769,F5,-,Disorders_of_Platelet_Function
1,171060017,171086959,FMO3,+,Disorders_of_Platelet_Function
1,172628184,172636012,FASLG,+,Disorders_of_Platelet_Function
1,173872941,173886516,SERPINC1,-,Disorders_of_Platelet_Function
1,183524696,183560056,NCF2,-,Disorders_of_Platelet_Function
1,186265404,186283688,PRG4,+,Disorders_of_Platelet_Function
1,197008320,197036397,F13B,-,Disorders_of_Platelet_Function
1,198608097,198726605,PTPRC,+,Disorders_of_Platelet_Function
1,207494816,207534311,CD55,+,Disorders_of_Platelet_Function
1,207627644,207663240,CR2,+,Disorders_of_Platelet_Function
1,207669472,207815110,CR1,+,Disorders_of_Platelet_Function
1,210851656,211307457,KCNH1,-,Disorders_of_Platelet_Function
1,220087605,220101993,SLC30A10,-,Disorders_of_Platelet_Function
1,223282747,223316624,TLR5,-,Disorders_of_Platelet_Function
1,225589203,225615815,LBR,-,Disorders_of_Platelet_Function
1,225997796,226033262,EPHX1,+,Disorders_of_Platelet_Function
1,230838271,230850336,AGT,-,Disorders_of_Platelet_Function
1,235824330,236030227,LYST,-,Disorders_of_Platelet_Function
10,6052656,6104333,IL2RA,-,Disorders_of_Platelet_Function
10,14948870,14996094,DCLRE1C,-,Disorders_of_Platelet_Function
10,21823573,22032559,MLLT10,+,Disorders_of_Platelet_Function
10,27293044,27389427,ANKRD26,-,Disorders_of_Platelet_Function
10,50662525,50747169,ERCC6,-,Disorders_of_Platelet_Function
10,52834233,54058110,PRKG1,+,Disorders_of_Platelet_Function
10,54525139,54531460,MBL2,-,Disorders_of_Platelet_Function
10,67679724,69455949,CTNNA3,-,Disorders_of_Platelet_Function
10,70587293,70652816,STOX1,+,Disorders_of_Platelet_Function
10,71029755,71161637,HK1,+,Disorders_of_Platelet_Function
10,72191691,72201465,NODAL,-,Disorders_of_Platelet_Function
10,72357103,72362531,PRF1,-,Disorders_of_Platelet_Function
10,73079009,73123147,SLC29A3,+,Disorders_of_Platelet_Function
10,73576054,73611082,PSAP,-,Disorders_of_Platelet_Function
10,75670861,75677258,PLAU,+,Disorders_of_Platelet_Function
10,89623194,89728532,PTEN,+,Disorders_of_Platelet_Function
10,90750287,90775542,FAS,+,Disorders_of_Platelet_Function
10,90973325,91011660,LIPA,-,Disorders_of_Platelet_Function
10,96522462,96612671,CYP2C19,+,Disorders_of_Platelet_Function
10,96698414,96749148,CYP2C9,+,Disorders_of_Platelet_Function
10,97515408,97637023,ENTPD1,+,Disorders_of_Platelet_Function
10,100175954,100206704,HPS1,-,Disorders_of_Platelet_Function
10,103825123,103827795,HPS6,+,Disorders_of_Platelet_Function
10,127477146,127511837,UROS,-,Disorders_of_Platelet_Function
11,747431,765024,TALDO1,+,Disorders_of_Platelet_Function
11,832951,838835,CD151,+,Disorders_of_Platelet_Function
11,3876932,4114440,STIM1,+,Disorders_of_Platelet_Function
11,5246695,5248301,HBB,-,Disorders_of_Platelet_Function
11,6411643,6416228,SMPD1,+,Disorders_of_Platelet_Function
11,18300216,18343721,HPS5,-,Disorders_of_Platelet_Function
11,33724555,33744273,CD59,-,Disorders_of_Platelet_Function
11,36589562,36601310,RAG1,+,Disorders_of_Platelet_Function
11,36613492,36619829,RAG2,-,Disorders_of_Platelet_Function
11,46740742,46761056,F2,+,Disorders_of_Platelet_Function
11,58912251,58922511,FAM111A,+,Disorders_of_Platelet_Function
11,62457733,62475179,BSCL2,-,Disorders_of_Platelet_Function
11,63974151,63991363,FERMT3,+,Disorders_of_Platelet_Function
11,64494382,64512329,RASGRP2,-,Disorders_of_Platelet_Function
11,65292547,65306182,SCYL1,+,Disorders_of_Platelet_Function
11,67806461,67818366,TCIRG1,+,Disorders_of_Platelet_Function
11,85668213,85780139,PICALM,-,Disorders_of_Platelet_Function
11,108093558,108239826,ATM,+,Disorders_of_Platelet_Function
11,111957547,111966525,SDHD,+,Disorders_of_Platelet_Function
11,116706468,116708338,APOA1,-,Disorders_of_Platelet_Function
11,119076985,119178859,CBL,+,Disorders_of_Platelet_Function
11,128563810,128683162,FLI1,+,Disorders_of_Platelet_Function
12,6058039,6233836,VWF,-,Disorders_of_Platelet_Function
12,6437922,6451283,TNFRSF1A,-,Disorders_of_Platelet_Function
12,6554050,6560884,CD27,+,Disorders_of_Platelet_Function
12,11802787,12048325,ETV6,+,Disorders_of_Platelet_Function
12,25358179,25403854,KRAS,-,Disorders_of_Platelet_Function
12,45609769,45826134,ANO6,+,Disorders_of_Platelet_Function
12,48366747,48398285,COL2A1,-,Disorders_of_Platelet_Function
12,50497601,50505103,GPD1,+,Disorders_of_Platelet_Function
12,53068519,53074191,KRT1,-,Disorders_of_Platelet_Function
12,57403780,57410344,TAC3,-,Disorders_of_Platelet_Function
12,57881719,57910438,MARS,+,Disorders_of_Platelet_Function
12,65107221,65153226,GNS,-,Disorders_of_Platelet_Function
12,69742133,69748013,LYZ,+,Disorders_of_Platelet_Function
12,97301000,97347469,NEDD1,+,Disorders_of_Platelet_Function
12,100897137,100957645,NR1H4,+,Disorders_of_Platelet_Function
12,102139274,102224645,GNPTAB,-,Disorders_of_Platelet_Function
12,110011499,110035071,MVK,+,Disorders_of_Platelet_Function
12,110220891,110271212,TRPV4,-,Disorders_of_Platelet_Function
12,111843751,111889427,SH2B3,+,Disorders_of_Platelet_Function
12,112856535,112947717,PTPN11,+,Disorders_of_Platelet_Function
12,116396380,116714991,MED13L,-,Disorders_of_Platelet_Function
12,122716093,122751068,VPS33A,-,Disorders_of_Platelet_Function
12,132680916,132905905,GALNT9,-,Disorders_of_Platelet_Function
12,133264191,133281577,PXMP2,+,Disorders_of_Platelet_Function
13,28577410,28674729,FLT3,-,Disorders_of_Platelet_Function
13,110959630,111165373,COL4A2,+,Disorders_of_Platelet_Function
13,113760101,113774995,F7,+,Disorders_of_Platelet_Function
13,113777112,113803843,F10,+,Disorders_of_Platelet_Function
13,113812967,113826698,PROZ,+,Disorders_of_Platelet_Function
14,20937537,20946165,PNP,+,Disorders_of_Platelet_Function
14,23242431,23285107,SLC7A7,-,Disorders_of_Platelet_Function
14,50709151,50778947,L2HGDH,-,Disorders_of_Platelet_Function
14,54416454,54421270,BMP4,-,Disorders_of_Platelet_Function
14,65213000,65289863,SPTB,-,Disorders_of_Platelet_Function
14,69340839,69446083,ACTN1,-,Disorders_of_Platelet_Function
14,74946642,74960084,NPC2,-,Disorders_of_Platelet_Function
14,77787229,77797940,GSTZ1,+,Disorders_of_Platelet_Function
14,92524895,92572965,ATXN3,-,Disorders_of_Platelet_Function
14,94843083,94857029,SERPINA1,-,Disorders_of_Platelet_Function
14,96001322,96011055,GLRX5,+,Disorders_of_Platelet_Function
14,105235686,105262080,AKT1,-,Disorders_of_Platelet_Function
15,23930553,23932450,NDN,-,Disorders_of_Platelet_Function
15,25101697,25223729,SNRPN,+,Disorders_of_Platelet_Function
15,36871811,37102449,C15orf41,+,Disorders_of_Platelet_Function
15,40453209,40513337,BUB1B,+,Disorders_of_Platelet_Function
15,40763159,40765357,CHST14,+,Disorders_of_Platelet_Function
15,41221530,41231258,DLL4,+,Disorders_of_Platelet_Function
15,43015759,43029417,CDAN1,-,Disorders_of_Platelet_Function
15,43489425,43513323,EPB42,-,Disorders_of_Platelet_Function
15,45003684,45010357,B2M,+,Disorders_of_Platelet_Function
15,45879416,45901909,BLOC1S6,+,Disorders_of_Platelet_Function
15,55495163,55563107,RAB27A,-,Disorders_of_Platelet_Function
15,74471807,74495220,STRA6,-,Disorders_of_Platelet_Function
15,75182409,75190565,MPI,+,Disorders_of_Platelet_Function
15,80445232,80478924,FAH,+,Disorders_of_Platelet_Function
15,99192760,99507759,IGF1R,+,Disorders_of_Platelet_Function
16,222845,223709,HBA2,+,Disorders_of_Platelet_Function
16,226678,227520,HBA1,+,Disorders_of_Platelet_Function
16,3292027,3306627,MEFV,-,Disorders_of_Platelet_Function
16,3775055,3930121,CREBBP,-,Disorders_of_Platelet_Function
16,5121809,5137380,ALG1,+,Disorders_of_Platelet_Function
16,8891669,8943194,PMM2,+,Disorders_of_Platelet_Function
16,27438578,27463363,IL21R,+,Disorders_of_Platelet_Function
16,28996146,29002104,LAT,+,Disorders_of_Platelet_Function
16,30076993,30081741,ALDOA,+,Disorders_of_Platelet_Function
16,30759619,30772497,PHKG2,+,Disorders_of_Platelet_Function
16,30996518,31000473,HSD3B7,+,Disorders_of_Platelet_Function
16,31102174,31106276,VKORC1,-,Disorders_of_Platelet_Function
16,53633817,53737771,RPGRIP1L,-,Disorders_of_Platelet_Function
16,58035276,58055527,USB1,+,Disorders_of_Platelet_Function
16,67465035,67471454,HSD11B2,+,Disorders_of_Platelet_Function
16,70514471,70557457,COG4,-,Disorders_of_Platelet_Function
16,88709696,88717492,CYBA,-,Disorders_of_Platelet_Function
16,88781745,88851372,PIEZO1,-,Disorders_of_Platelet_Function
17,62179,202633,RPH3AL,-,Disorders_of_Platelet_Function
17,1646129,1658559,SERPINF2,+,Disorders_of_Platelet_Function
17,3539761,3566397,CTNS,+,Disorders_of_Platelet_Function
17,4835591,4838325,GP1BA,+,Disorders_of_Platelet_Function
17,5417437,5487832,NLRP1,-,Disorders_of_Platelet_Function
17,16842397,16875402,TNFRSF13B,-,Disorders_of_Platelet_Function
17,26083791,26127555,NOS2,-,Disorders_of_Platelet_Function
17,27055831,27069784,NEK8,+,Disorders_of_Platelet_Function
17,29421944,29704695,NF1,+,Disorders_of_Platelet_Function
17,33875143,33885110,SLFN14,-,Disorders_of_Platelet_Function
17,38974368,38978863,KRT10,-,Disorders_of_Platelet_Function
17,40554466,40575338,CAVIN1,-,Disorders_of_Platelet_Function
17,40687950,40696466,NAGLU,+,Disorders_of_Platelet_Function
17,41052813,41066450,G6PC,+,Disorders_of_Platelet_Function
17,42148097,42153712,G6PC3,+,Disorders_of_Platelet_Function
17,42325757,42345502,SLC4A1,-,Disorders_of_Platelet_Function
17,42449549,42466873,ITGA2B,-,Disorders_of_Platelet_Function
17,45331207,45390077,ITGB3,+,Disorders_of_Platelet_Function
17,54911459,54946036,DGKE,+,Disorders_of_Platelet_Function
17,56282796,56296666,MKS1,-,Disorders_of_Platelet_Function
17,61554421,61575741,ACE,+,Disorders_of_Platelet_Function
17,61909440,61920351,SMARCD2,-,Disorders_of_Platelet_Function
17,73823307,73840798,UNC13D,-,Disorders_of_Platelet_Function
17,78075354,78093679,GAA,+,Disorders_of_Platelet_Function
17,78183078,78194199,SGSH,-,Disorders_of_Platelet_Function
17,79825596,79829282,ARHGDIA,-,Disorders_of_Platelet_Function
17,79993756,79995573,DCXR,-,Disorders_of_Platelet_Function
18,21111462,21166581,NPC1,-,Disorders_of_Platelet_Function
18,55313658,55470327,ATP8B1,-,Disorders_of_Platelet_Function
18,59711457,59828618,PIGN,-,Disorders_of_Platelet_Function
18,61420280,61472610,SERPINB7,+,Disorders_of_Platelet_Function
19,2100986,2151556,AP3D1,-,Disorders_of_Platelet_Function
19,3630178,3700477,PIP5K1C,-,Disorders_of_Platelet_Function
19,11487880,11495018,EPOR,-,Disorders_of_Platelet_Function
19,11685474,11689801,ACP5,-,Disorders_of_Platelet_Function
19,12757321,12777591,MAN2B1,-,Disorders_of_Platelet_Function
19,12917427,12924462,RNASEH2A,+,Disorders_of_Platelet_Function
19,12995236,12998017,KLF1,-,Disorders_of_Platelet_Function
